0x1053c <main+172>:	add	a5,a5,s0
0x1053e <main+174>:	sw	a4,-64(a5)
0x10542 <main+178>:	lw	a5,-28(s0)
0x10546 <main+182>:	addiw	a5,a5,1
0x10548 <main+184>:	sw	a5,-28(s0)
0x1054c <main+188>:	lw	a5,-28(s0)
0x10550 <main+192>:	sext.w	a4,a5
0x10554 <main+196>:	li	a5,1
0x10556 <main+198>:	bge	a5,a4,0x104de <main+78>
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	lw	a4,-20(s0)
0x104e6 <main+86>:	slli	a4,a4,0x1
0x104e8 <main+88>:	add	a5,a5,a4
0x104ea <main+90>:	slli	a5,a5,0x2
0x104ec <main+92>:	addi	a5,a5,-16
0x104ee <main+94>:	add	a5,a5,s0
0x104f0 <main+96>:	lw	a4,-64(a5)
0x104f4 <main+100>:	lw	a5,-28(s0)
0x104f8 <main+104>:	lw	a3,-20(s0)
0x104fc <main+108>:	slli	a3,a3,0x1
0x104fe <main+110>:	add	a5,a5,a3
0x10500 <main+112>:	slli	a5,a5,0x2
0x10502 <main+114>:	addi	a5,a5,-16
0x10504 <main+116>:	add	a5,a5,s0
0x10506 <main+118>:	lw	a3,-32(a5)
0x1050a <main+122>:	lw	a5,-24(s0)
0x1050e <main+126>:	lw	a2,-28(s0)
0x10512 <main+130>:	slli	a2,a2,0x1
0x10514 <main+132>:	add	a5,a5,a2
0x10516 <main+134>:	slli	a5,a5,0x2
0x10518 <main+136>:	addi	a5,a5,-16
0x1051a <main+138>:	add	a5,a5,s0
0x1051c <main+140>:	lw	a5,-48(a5)
0x10520 <main+144>:	mulw	a5,a3,a5
0x10524 <main+148>:	sext.w	a5,a5
0x10526 <main+150>:	addw	a5,a5,a4
0x10528 <main+152>:	sext.w	a4,a5
0x1052c <main+156>:	lw	a5,-24(s0)
0x10530 <main+160>:	lw	a3,-20(s0)
0x10534 <main+164>:	slli	a3,a3,0x1
0x10536 <main+166>:	add	a5,a5,a3
0x10538 <main+168>:	slli	a5,a5,0x2
0x1053a <main+170>:	addi	a5,a5,-16
0x1053c <main+172>:	add	a5,a5,s0
0x1053e <main+174>:	sw	a4,-64(a5)
0x10542 <main+178>:	lw	a5,-28(s0)
0x10546 <main+182>:	addiw	a5,a5,1
0x10548 <main+184>:	sw	a5,-28(s0)
0x1054c <main+188>:	lw	a5,-28(s0)
0x10550 <main+192>:	sext.w	a4,a5
0x10554 <main+196>:	li	a5,1
